Iteration,Host,IP Source,IP Destination,Source Port,Destination Port,Is,Number,Timestamp (seconds-Unix Epoch),Nº pkt out of order,Out of order packets,DSCP,Avg Jitter (Nanoseconds)
6,h1,10.0.2.2,239.1.1.1,56117,443,receiver,8852,1746275603.2430599,0,[],51,33886943.55620315
7,h1,10.0.1.1,10.0.2.2,49989,443,sender,3000,1746275949.311025,,,0,
7,h1,10.0.1.1,10.0.5.1,56754,443,sender,3000,1746275949.293025,,,0,
7,h3,10.0.5.1,10.0.1.2,50327,443,sender,15000,1746275949.307943,,,2,
7,h4,10.0.1.2,10.0.2.2,55524,443,sender,30000,1746275949.305911,,,10,
7,h2,10.0.2.2,10.0.1.1,56117,443,sender,15000,1746275949.320839,,,51,
7,h4,10.0.5.1,10.0.1.2,50327,443,receiver,8677,1746275949.3396685,0,[],2,34570577.05477255
7,h4,10.0.2.2,239.1.1.1,56117,443,receiver,8748,1746275949.3406558,0,[],51,34292911.52387221
7,h2,10.0.1.1,10.0.2.2,49989,443,receiver,2967,1746275949.3363152,0,[],0,30702521.835548293
7,h2,10.0.2.2,239.1.1.1,56117,443,receiver,8737,1746275949.3410506,0,[],51,34335957.08432488
7,h2,10.0.1.2,10.0.2.2,55524,443,receiver,8754,1746275949.342517,0,[],10,34267497.574708514
7,h1,10.0.2.2,239.1.1.1,56117,443,receiver,8726,1746275949.3408833,0,[],51,34379258.741623275
7,h3,10.0.2.2,239.1.1.1,56117,443,receiver,8734,1746275949.3415046,0,[],51,34347817.39388025
7,h3,10.0.1.1,10.0.5.1,56754,443,receiver,2961,1746275949.3481405,0,[],0,31167241.53742197
8,h1,10.0.1.1,10.0.2.2,49989,443,sender,3000,1746276295.390917,,,0,
8,h1,10.0.1.1,10.0.5.1,56754,443,sender,3000,1746276295.389918,,,0,
8,h4,10.0.1.2,10.0.2.2,55524,443,sender,30000,1746276295.391007,,,10,
8,h2,10.0.2.2,10.0.1.1,56117,443,sender,15000,1746276295.391335,,,51,
8,h3,10.0.5.1,10.0.1.2,50327,443,sender,15000,1746276295.412578,,,2,
8,h3,10.0.1.1,10.0.5.1,56754,443,receiver,2978,1746276295.434242,0,[],0,30876159.107548986
8,h3,10.0.2.2,239.1.1.1,56117,443,receiver,8991,1746276295.4408479,0,[],51,33357749.273270432
8,h1,10.0.2.2,239.1.1.1,56117,443,receiver,9014,1746276295.4393113,0,[],51,33272654.142140508
8,h4,10.0.5.1,10.0.1.2,50327,443,receiver,8913,1746276295.4274585,0,[],2,33666334.475355946
8,h4,10.0.2.2,239.1.1.1,56117,443,receiver,8997,1746276295.4401362,0,[],51,33335474.076185755
