Iteration,Host,IP Source,IP Destination,Source Port,Destination Port,Is,Number,Timestamp (seconds-Unix Epoch),Nº pkt out of order,Out of order packets,DSCP,Avg Jitter (Nanoseconds)
9,h3,10.0.1.1,10.0.5.1,50590,443,receiver,1500,1741296829.0270839,0,[],0,11092561.086018888
9,h3,10.0.2.2,239.1.1.1,55081,443,receiver,2970,1741296829.0373363,0,[],51,11950365.78258681
9,h4,10.0.5.1,10.0.1.2,65082,443,receiver,2970,1741296829.0307288,0,[],2,11926676.608898006
9,h4,10.0.2.2,239.1.1.1,55081,443,receiver,2970,1741296829.037433,0,[],51,11950348.362778183
9,h1,10.0.2.2,239.1.1.1,55081,443,receiver,2970,1741296829.0373404,0,[],51,11950027.180039104
10,h1,10.0.1.1,10.0.2.2,57978,443,sender,1500,1741296996.571262,,,0,
10,h4,10.0.1.2,10.0.2.2,60169,443,sender,1500,1741296996.588251,,,10,
10,h1,10.0.1.1,10.0.5.1,50590,443,sender,1500,1741296996.59254,,,0,
10,h3,10.0.5.1,10.0.1.2,65082,443,sender,2970,1741296996.584092,,,2,
10,h2,10.0.2.2,10.0.1.1,55081,443,sender,2970,1741296996.587343,,,51,
10,h1,10.0.2.2,239.1.1.1,55081,443,receiver,2970,1741296996.6111,0,[],51,12511400.742964298
10,h4,10.0.5.1,10.0.1.2,65082,443,receiver,2970,1741296996.608733,0,[],2,12489675.191115044
10,h4,10.0.2.2,239.1.1.1,55081,443,receiver,2970,1741296996.6121385,0,[],51,12511269.412056768
10,h3,10.0.1.1,10.0.5.1,50590,443,receiver,1500,1741296996.6030097,0,[],0,12497976.14415486
10,h3,10.0.2.2,239.1.1.1,55081,443,receiver,2970,1741296996.6086164,0,[],51,12512648.547137229
10,h2,10.0.1.1,10.0.2.2,57978,443,receiver,1500,1741296996.6071692,0,[],0,12381423.7912496
10,h2,10.0.2.2,239.1.1.1,55081,443,receiver,2970,1741296996.6103935,0,[],51,12511653.771705508
10,h2,10.0.1.2,10.0.2.2,60169,443,receiver,1500,1741296996.6109977,0,[],10,12427495.79747518
